Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
Arih.Found.Hsg.,25.24,0.17,2.72,2.88,1.88,102.95,0.74,7.29,0.98,0.27,0.1,20.64,2.44,7.17,10.83,2.81,663.73,14.05,11.27,4.22,0.79,50.15,0,125.81,27.36,531.4,24,141.46,42.87,720.53
Celebrity Fash.,,0,2.36,1.11,1.19,-231.55,1.98,5.93,0.77,2.12,3.18,-8.59,4.76,-0.06,10.82,-0.01,145.96,19.26,5.08,0.29,,-26.65,77.62,282.74,2.6,82.38,-1.5,67.16,35.32,-17.44
Poonawalla Fin,23.19,0.55,3.45,4.42,1.14,85.39,1.86,13.9,1.14,0.23,,1219.79,2.9,5.74,10.8,2.38,43073.84,16.97,-5.4,8.29,0.82,52.61,0,3393.85,73.54,28126.66,22.69,15215.72,61.87,3.67
KHFM Hospitality,64.54,0.47,4.57,3.24,1.77,28.15,0.98,7.62,1.77,1.01,0,3.46,2.27,3.86,10.79,1.91,255.91,24.21,-662.74,2.05,11.31,20.87,0,107.45,9.21,220.69,1.73,46.05,37.03,106.87
Shyam Metalics,20.71,0.55,2.38,7.86,1.05,74.58,0.06,12.07,0.45,1.02,4.59,1102.43,1.35,5.09,10.79,9.66,23622.31,12.95,489.24,1.71,1.88,5.53,0,13473.8,12.2,23075.87,41.69,596.91,74.59,88.65
Jainex Aamcol,31.37,0,4.21,3.23,1.29,12.05,0.6,7.51,0.68,1.35,1.07,0.93,2.24,4.49,10.78,3.55,33.85,15.74,24.14,1.34,-8.23,11.54,0,22.23,9.54,29.86,6.22,4.18,66.38,27.75
Mukand,21.94,1.37,2.29,3.27,3.72,-45.86,1.62,11.46,1.24,1.66,2.33,96.09,3.38,7.18,10.78,1.96,3526,11.64,15.02,0.41,0.93,-7.96,0,5050.51,5.66,2090.16,6.65,1489.05,74.7,-7.56
Anand Rayons,18.19,0,1.92,4.17,2.22,-4.96,0.8,9.02,2.02,4.58,51.62,3.83,2.07,7.63,10.77,2.5,83.86,12.63,6.69,0.21,2.31,5.21,0,340.04,1.93,69.9,2.56,28.99,70.72,20.65
Gokaldas Exports,49.21,0,4.24,5.48,1.21,-22.16,0.62,10.27,0.62,1.17,2.62,125.59,1.58,2.94,10.76,4.06,6791.12,22.72,-31.44,2.19,1.59,31.52,0,2796.37,9.61,6113.61,19.73,804.85,9.39,-1.26
Mufin Green,85.45,0,6.73,2.49,7.65,69.29,2.87,8.77,7.65,0.15,,17.64,2.96,4.32,10.75,1.4,1915.71,22.6,-7.64,13,2,143.43,0,117.43,71.36,1526.77,1.11,640.07,54.51,-4.94
Mangalam Alloys,8.2,0,0.7,3.18,1.47,87.11,1.12,10.73,0.74,0.84,1.74,11.47,2.68,11.6,10.75,1.41,240.1,6.86,23.06,0.31,-4.86,0.6,0,304.37,11.18,94.17,4.65,150.54,59.74,-29.96
DigiSpice Tech.,33.28,0,2.8,-1.33,1.2,346.27,0.11,-3.74,1.2,0.65,1.28,20.56,2.77,10.33,10.74,18.71,328.05,7.8,12.39,1.54,,1.75,0,438.74,3.07,677.09,1.45,26.04,72.89,1.51
