Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
Deccan Transcon,12.06,0,,18.02,1.86,38.04,0.72,45.08,1.86,2.32,,11.83,2.04,11.42,36.65,5.86,163.65,8.01,-128.09,0.94,,-15.06,0,152.56,11.88,143.61,6.87,23.1,64.13,
Mahanagar Gas,12.56,1.96,2.94,19.45,0.5,23.83,0.03,27.79,0.48,0.94,102.77,1205.2,1.29,10.98,36.6,134.73,15335.09,8,35.84,2.48,0.69,-1.35,0,6296.37,27.63,15594.3,122.01,139.26,32.5,50.37
Vraj Iron,12.94,0,,24.19,4.59,5.72,0.32,33.46,2.84,1.78,8.39,57.09,1.18,10.29,36.54,27.03,767.69,9.12,93.74,1.77,,-18.58,0,419.86,18.33,744.57,23.22,63.27,74.95,
Aeron Composites,20.27,0,,11.87,1.32,53.18,0.33,33.21,0.89,2.34,5.56,10.11,2.4,7.47,36.46,12.16,215.23,11.94,161.02,1.04,,11.34,0,199.73,8.05,208.49,64.54,11.83,73.63,
Amic Forging,104.53,0,19.77,15.82,1.97,25.85,0.06,28.92,1.96,1.63,28.59,12.22,1.2,1.34,36.37,32.71,1323.07,74.67,667.49,10.58,,8.77,0,125.82,13.1,1331.29,13.19,3.86,57.82,
Aspire & Innovat,11.57,0,,10.31,1.47,75.86,0.35,35.32,1.1,4.28,8.38,9.25,2.43,12.59,36.37,15,110.3,7.98,-22.31,0.29,,11.07,0,383.99,3.34,110.04,8.38,13.05,72.35,
Evans Electric,19.35,0.88,4.79,23.23,2.15,50,0.02,28.02,2.03,0.99,4.65,4.83,1.07,6.94,36.35,25.36,84.75,12.88,24.59,4.2,0.56,8.05,0,20.67,31.01,86.81,18.48,0.4,59.44,117.64
Cello World,55.75,0.18,15.66,20.1,2.18,23.46,0.32,44.21,1.35,1.14,2,336.22,1.53,2.54,36.28,190.12,18896.2,34.87,233.84,9.16,,11.33,0,2029.15,25.34,18590.55,16.18,370.71,75,
Aluwind,19.63,0,,14.83,1.47,174.82,0.51,36.21,1.14,1.64,4.79,7.53,2.07,6.97,36.07,13.62,165.55,13.83,-51.45,1.86,,70.2,0,83.43,14.16,155.17,4.13,12.49,72.13,
HBL Power System,48.19,0.09,12.93,20.43,2.77,153.7,0.06,27.73,1.68,1.52,3.15,327.64,1.21,2.78,35.94,34.07,15307.11,32.11,137.9,6.77,0.71,50.75,0,2286.04,19.95,15474.6,11.16,67.46,59.11,114.3
K2 Infragen,22.92,0,,15.75,1.67,9.79,0.56,42.3,1.67,1.38,,12.45,1.76,6.72,35.82,7.19,303.1,14.18,-773.6,2.76,,45.37,0,108.72,19.17,299.56,13.52,25.29,40.36,
Thomas Scott,26.97,0,5.68,14.63,3.58,209.34,0.14,36.13,1.83,1.32,2.31,10.27,1.62,4.43,35.78,8.23,268.61,19.23,-24.09,2.72,0.43,41.62,0,96.7,11.49,263.12,11.37,5.9,57.86,88.63
MPS,31.12,3.61,7.73,18.13,1.46,-3.78,0.01,26.47,1.46,0.84,,114.36,1.41,4.57,35.65,181.21,3519.02,19.56,32.89,6.12,2.51,14.42,0,593.52,28.48,3629.85,66.85,4.54,68.34,31.31
Bondada Engineer,127.06,0.01,35.02,12.25,1.42,169.15,0.39,37.17,0.99,2.12,5.3,44.74,2.33,1.24,35.53,7.96,5618.42,78.59,-14751.95,7,3.96,116.07,0,800.72,8.55,5606.27,4.14,62.5,63.33,976.72
Sayaji Hot. Pune,13.91,0,3.51,23.91,1.11,19.91,0.03,29.22,0.93,1.02,5.33,16.4,1.07,9.7,35.53,122.83,225.15,9.06,,3.17,,7.29,2.28,71.1,33.59,225.43,53.83,1.97,74.95,
Sona Machinery,21.24,0,3.4,18.31,3.88,35.49,0.01,27.26,3.25,1.67,6.25,10.46,0.87,8.04,35.52,75,172.09,11.14,160.05,2.28,,17.78,0,95.21,15.93,216.97,7.63,0.97,73.59,
Sonata Software,39.63,1.35,11.66,8.72,0.92,-10.97,0.54,30.34,0.89,1.83,91.85,413.35,3.35,4.35,35.51,8.4,16918.23,20.1,53.81,1.86,3.68,18.73,0,9124.96,7.95,17017.74,10.48,765.46,28.17,8.49
Exhicon Events,23.38,0.42,3.67,21.64,5.3,43.42,0.01,25.82,5.3,1.35,,13.08,0.79,6.49,35.5,229.88,279.87,13.91,-24.76,3.42,,50.34,0,88.46,22,302.35,10.09,0.74,57.03,-14.42
C P C L,19.11,6.25,1.75,15.93,0.91,-76.25,0.82,36.46,0.17,3.88,8.66,685.48,1.98,5.98,35.44,5.67,17628.67,10.11,4.53,0.18,0.24,-1.65,0,64277.6,2.66,11708.51,46.03,6113.7,67.29,69
SKM Egg Prod.,10.23,1.04,2.29,20.96,2.4,-40.34,0.49,35.91,1.52,1.74,3.75,62.17,1.46,14.54,35.44,8.55,640.21,6.17,26.57,1.06,0.13,-17.64,0,608.73,14.6,645.1,23.65,136.2,55.11,-39.57
Arrow Greentech,28.75,0.26,9.07,21.99,5.97,53.83,0.01,26.07,4.38,1.11,3.45,40.12,1.05,4.84,35.32,144.21,1177.07,18.78,5555.17,7.01,0.99,21.43,0,170.76,35.13,1197.72,26.7,1.24,66.75,94.12
Cummins India,55.54,1.07,15.93,20.25,2.32,41.66,0.02,28.11,1.86,1.12,6.36,1766.01,1.3,2.38,35.23,96.6,93415.47,37.81,116.86,10.47,2.97,9.53,0,9054.08,20.85,94799.63,63.66,120.5,51,108.45
Nitta Gelatin,9.49,0.77,2.05,21.3,4.27,-10.97,0.04,27.05,2.75,1.35,3,74.23,1.15,16.71,35.19,47.74,651.55,5.32,13.23,1.32,0.11,-3.61,0,539.05,20.79,713.19,82.36,14.05,74.48,-1.67
Kalyani Cast-Tec,36.72,0,6.97,21.48,2.93,18.63,0.15,29.55,1.9,2.13,6.17,9.55,0.88,3.82,35.16,63.43,332.56,23.55,-281.1,3.54,,49.33,0,94.48,14.33,334.54,13.37,7.7,69.88,
R K Swamy,27.97,0.87,4.78,11.19,2.4,27.44,0.08,27.71,2.4,0.93,,41.39,1.47,6.02,35.16,12.08,1012.02,13.35,36.39,3.42,,13.3,0,338.54,20.51,1156.99,8.55,20.47,66.05,
Shekhawati Inds,8.75,0,22.34,14.35,1.17,220.8,0.12,,1.13,1.01,25.56,18.76,10.48,11.43,35.14,470,161.21,6.42,6.21,2.34,0.33,-62.88,0,68.62,12.62,160.72,45.92,0.84,58.02,841.4
Kamdhenu,24.44,0.43,5.92,20.43,3.83,24.27,0.01,26.5,3.48,2.94,42.78,53.51,1.16,5.67,35.11,139.76,1268.15,16.61,20.45,1.88,1.41,-6.51,0,700.64,8.29,1319.4,19.72,2.7,49.83,68.07
Khemani Distrib.,10.12,0,2.57,27.02,10.6,599.65,0.05,31.5,4.92,1.29,3.95,20.22,0.94,12.14,35.06,119.71,207.1,8.2,18.48,2.12,0.16,26.05,29.85,96.62,25.67,204.65,13.55,4.35,75.84,47.36
Magson Retail,25.44,0.44,2.94,14.1,4.06,11.9,0.03,30.42,2.75,3.38,5.02,2.82,2.16,6.88,34.99,8.09,63.56,12.37,232.92,1.06,,7.74,0,67.68,7.06,71.75,3.59,0.77,70.06,7.21
Aditya AMC,25.05,1.87,6.57,24.81,1.39,22.62,0.02,27.45,1.39,0.52,,831.52,0.99,5.18,34.89,172.03,21210.27,19.01,39.25,14.85,2.16,15.84,0,1428.64,56.79,21216,28.86,79.09,74.95,66.13
Moongipa Capital,7.34,0,2.01,30.59,39.24,269.49,0.02,31.65,6.29,1.62,2.97,2.18,0.89,16.57,34.88,,16.28,5.96,-11.87,1.42,0.19,151.88,0,11.41,21.03,16.16,7.14,0.18,37.38,114.08
Aztec Fluids,18.85,0.6,,16.02,1.35,92.95,0.32,32.65,1.11,1.8,14.43,6.02,1.76,7.21,34.76,14.56,122.61,13.79,64.98,1.73,,24.76,0,67.68,11.42,116.96,6.13,6.92,74,
Shree Pacetronix,20.18,0,3.35,17.55,1.72,-45.74,0.45,29.6,1.03,1.15,1.72,2.23,1.47,7.23,34.74,7.68,50.27,10.9,256.75,2.29,0.17,-16.71,14.78,19.84,22.48,45.35,6.2,6.06,24.24,-68.02
Pee Cee Cosma,18.21,0.38,5.13,21.97,2.11,137.16,0.04,29.55,0.17,2.81,6.46,11.36,1.18,7.43,34.67,81.37,209.46,12.3,99.82,1.52,0.62,6.78,0,136.76,11.59,208.22,42.93,1.52,72.57,67.46
MSTC,22.51,2.26,5.43,8.27,1.39,-9.49,0.16,24.38,1.39,0.3,10.5,215.66,2.78,8.88,34.65,684.16,3750.74,10.21,27.6,6.24,1.02,5.83,0,761.32,20.83,4754.04,30.63,145,64.75,56.35
IIFL Securities,18.65,0.8,6.44,7.75,1.29,120.54,0.65,32.32,1.29,0.34,,619.65,3.67,12.12,34.56,6.05,8269.1,6.63,-313.6,4.72,0.69,52.44,0,2530.5,45.18,11942.39,23.27,1053.06,30.88,296.82
Geekay Wires,13.05,0.6,4.32,17.06,1.4,24.6,0.77,42.11,0.97,1.82,7.59,40.22,2.06,10.14,34.51,10.37,603.82,8.84,22.52,1.25,0.19,0.34,0,410.91,8.31,512.2,7.69,93.92,59.27,35.51
Indo Tech.Trans.,49.35,0,11.15,13.6,2.05,75.76,0.02,24.15,1.28,1.46,3.64,49.23,1.59,2.69,34.49,18.35,2272.85,32.98,227.91,4.73,0.95,20.02,58.83,492.14,12.46,2325.39,46.36,5,75,360.09
Vishnusurya,25.38,0.35,5.33,19.12,2.36,59.94,0.15,29.41,2.31,1.6,2.82,27.59,1.1,5.86,34.46,12.5,729.98,14.95,-43.13,3.09,,74.16,0,230.54,20.77,713.19,11.21,19.81,62.24,139.78
Aimtron,61.53,0,,14.5,2.47,13.42,0.28,31.29,1.2,0.99,1.37,13.61,1.82,2.41,34.4,11.88,889.56,36.25,-121.68,9.5,,10.81,0,92.54,25.71,879.12,9.06,14.59,71.29,
S A Tech,45.98,0,,10.29,1.59,238.53,1.49,38.04,1.59,2,,3.69,3.07,4.27,34.35,2.88,196.68,22.15,59.41,2.48,,27.47,0,71.88,11.66,178.04,4.03,21.05,69.45,
ICE Make Refrig.,50.32,0.26,11.79,14.09,1.72,5.85,0.26,28.17,0.99,2.04,4.68,24.41,1.78,2.82,34.3,15.07,1290.63,32.95,1646.95,3.31,1.84,17.75,0,384.47,10.04,1272.01,15.54,27.25,74.49,24.22
Kriti Nutrients,14.86,0.22,3.94,22.51,3.94,50.08,0.07,29.31,2.09,3.4,10.41,46.96,1.14,9.19,34.28,65.12,660.41,9.7,57.19,1.02,0.66,-18.97,0,660.35,9.49,670.72,9.37,12.15,66.68,79.7
Eco Recyc.,85.42,0,25.99,23.13,3.24,177.79,0.08,28.59,2.06,0.4,1.12,19.89,1.07,1.48,34.09,33.69,1747.32,67.62,-64.86,51.22,1.42,93.35,0,34.03,62.97,1743.08,10.31,4.93,73.35,253.69
Viviana Power,69.59,0,18.38,14.99,1.41,114.95,0.68,30.5,1.25,1.52,9.71,6.47,1.76,2.53,34.08,3.92,467.39,38.85,-88.77,6.88,,81.27,0,65.53,18.11,450.74,10.97,16.69,73.38,436.38
Sai Swami Metals,17.18,0,,9.4,1.57,7100,0.77,57.83,0.47,1.77,3.24,2.16,3.23,8.02,34.03,7.28,40.31,11.72,,0.88,,549.6,0,40.73,8.45,35.67,5.25,5.47,62.15,
Orient,28.32,0,,15.04,1.92,14.57,0.06,27.26,1.82,2.19,41.62,41.45,1.57,4.89,33.96,27.79,1216.07,20.07,76.4,2.03,,12.67,0,602.89,9.39,1225.45,11.57,11.14,73.21,
Bayer Crop Sci.,43.17,2.19,10.09,16.01,2.41,-5.88,0.02,26.7,1.44,1.1,1.52,666.2,1.63,3.14,33.91,54.53,27370.89,29.39,52.87,5.7,2.51,-4.17,0,4994.8,16.89,28487.79,148.24,47.1,71.43,27.58
G M Polyplast,30.45,0.31,6.61,18.06,3.16,43.7,0.15,24.76,2.21,2.35,7.44,7.07,1.23,4.64,33.85,27.57,221.42,19.27,220.29,2.35,0.77,11.86,0,92.02,12.32,216.7,5.27,4.86,73.54,-2.47
Nirman Agri,19.88,0.59,7.25,28.07,3.22,159.35,0.02,32.35,1.99,1.71,7.61,13.63,0.99,5.25,33.81,472.33,273,18.84,187.4,2.67,,121.39,0,102.65,14.12,273.93,17.04,0.63,66.05,71.36
Wanbury,28.72,0,34.55,10.27,0.74,1165.26,5.31,,0.58,1.72,11.28,26.95,14.74,6.54,62.46,1.87,863.34,12.17,57.08,1.34,1.02,5.95,76.74,560.48,12.07,752.76,15.97,116.48,39.77,155.63
Slone,20.49,0,,25.56,3.11,458.67,0.12,54.66,2.61,3.7,29.92,4.19,1.24,6.79,60.39,16.47,85.85,12.5,,1.39,,100.83,0,60.69,10.71,84.33,10.83,1.57,73.01,
Sanjiv.Parant.,49.8,0,12.19,19.16,2.08,48.24,0.04,54.12,1.37,1.83,3.93,6.33,1.24,2.7,59.56,34.54,304.49,33.35,-371.74,5.37,1.31,52.71,0,58.26,14.74,313.08,5.9,0.97,27.67,116.45
Dindigul Farm,18.59,0,,21.04,1.4,69.05,1.84,,0.89,2.06,5.06,8.74,4.02,5.98,58.74,3.4,177.77,13.7,-110.39,1.86,,4.84,0,85.53,15.14,158.79,4.86,19,59.36,
E Factor Experie,22.87,0.37,6.97,19.86,1.88,111.28,0.07,49.6,1.88,1.92,,15.36,1.53,6.68,58.4,17.73,352.49,15.31,232.11,2.52,0.26,24.57,0,148.56,15.04,374.91,11.74,3.76,73.59,80.89
Sumuka Agro,29.66,0,10.25,24.11,2.18,24.73,0.04,48.05,2.1,2.44,21.5,4.64,1.68,4.76,58.15,,132.42,19.68,-57.98,2.35,0.34,51.83,0,56.36,11.94,132.34,5.57,0.56,27.71,35.85
Quest,14.82,0,,18.99,1.45,100.2,0.18,46.13,0.89,1.55,3.89,10.09,1.85,9.85,57.51,19.51,154.88,9.81,100.49,1.82,,33.94,0,82.56,18.85,149.94,8.45,5.08,65.83,
Accelya Solution,20.39,4.08,8.4,29.87,2.77,-0.16,0.12,42.18,2.77,1.31,,116.47,1.38,7.53,57.03,72.86,2325.11,11.42,19.32,4.69,11.44,6.14,0,510.97,37.65,2397.69,63.5,33.45,74.66,11.89
Wealth First Por,31.22,0.52,11.48,41.42,2.06,121.29,0.04,43.78,0.55,0.65,0.01,52.69,0.87,4.19,56.85,986.43,1694.19,24.41,74.99,24.55,0.74,81.09,0,68.94,82.93,1692.44,49.45,5.9,74.01,295.23
Brace Port,24.73,0,,23.89,1.87,-20.87,0.04,43.18,1.87,2.69,,4.89,1.49,5.64,56.81,51.85,121.79,17.13,64.49,2.24,,-21.93,0,55,12.49,123.18,5.93,0.49,70.11,
Castrol India,23.11,3.63,9.58,26.28,1.91,9.47,0.03,42.54,1.54,1.56,4.95,884.77,1.53,6.25,56.72,132.5,19696.3,15.14,29.65,4.04,6.26,4.98,0,5169.74,23.48,20886.11,8.95,73.33,51,49.81
Forbes Precision,51.5,0,,29.29,1.89,296900,0.06,43.08,1.13,2.26,4.43,29.68,0.74,2.69,55.86,35.3,1497.37,28.58,,6.58,,,98.25,228.5,22.49,1504.5,,8.83,73.85,
Prime Industries,,0,11.42,27.56,2.14,-101.79,0.32,52.97,2.13,0.39,2.14,-0.23,1.92,1.47,55.34,1.35,206.51,65.15,28.23,79.87,,-62.06,0,2.83,58.66,226.02,-0.15,6.5,41.48,-16.11
Macfos,53.56,0,23.99,26.2,1.9,46.83,0.3,49.59,0.69,3.01,4.58,13.07,1.52,2.71,55.25,12.85,746.08,37.59,784.35,4.73,,56.08,0,156.01,11.8,738.6,14.51,8.14,69.11,118.85
Lakshya Powertec,12.14,,,25.82,1.51,451.66,0.97,79.48,1.46,2.56,8.22,14.95,1.87,10.74,55.22,9.69,211.09,9.07,,1.23,,179.23,,148.13,14.85,181.51,20.45,30,,
Suratwwala Busi.,91.67,0,38.73,22.3,1.92,-19.57,0.65,80.43,0.23,0.58,0.27,24.41,2.15,1.61,54.89,49.28,2215.3,60.08,-242.73,33.84,,-17.77,0,64.51,55.7,2183.06,1.41,37.76,73.39,283.19
Comfort Comtrade,1.22,1.67,0.68,34.55,11.7,1370.66,0.16,49.39,0.49,0.64,0.13,24.56,1.15,93.12,54.68,29.63,35.39,1.04,-61.26,0.79,0.01,-52.36,0,36.69,91.88,28.85,24.51,7.23,51.61,53.87
TAC Infosec,123.31,0,,46.14,4.06,24.85,0.12,58.1,4.06,0.85,,6.33,0.97,0.83,54.64,40.69,766.07,113.32,-912.38,65.83,,16.2,0,11.62,56.2,764.91,8.27,1.68,56.94,
Winsol,37.82,0,,26.19,1.79,76.4,0.56,69.14,1.46,2.24,8.23,9.12,1.98,3.68,54.4,16.11,345.05,25.71,,4.3,,19.36,0,78.05,17.1,335.73,10.8,9.91,72.99,
OSEL Devices,21.91,0,,17.68,1.24,180.04,1,69.36,0.85,1.79,4.74,13.05,2.91,7.15,54.21,6.49,339.24,14.83,-89.24,2.41,,61.35,0,132.1,16.98,318.55,11.31,25.46,71.53,
Shine Fashions,26.48,0,10.16,20.72,1.68,344.32,0.1,47.48,1.23,2.85,11.65,3.91,1.87,5.09,53.98,106.4,102.35,19.17,-4351.2,1.87,,156.91,0,54.13,9.75,101.46,13.97,0.98,71.47,315.73
I R C T C,55.82,0.78,20.59,20.65,1.95,17.58,0.02,40.45,1.95,0.76,25.19,1189.72,1.73,2.52,53.77,93.27,64085.71,38.27,104.85,15.1,1.73,18.91,0,4388.54,34.14,66288.01,14.83,60.35,62.4,24.8
Sigma Solve,22.32,0.14,12.2,34.99,3.6,5.84,0.16,46.75,3.6,1.26,,16.5,1.7,6.54,52.54,59.78,359.9,14.32,31.11,5.6,,7.81,0,64.76,34.64,362.34,16.05,4.84,41.59,-30.64
Tunwal E-Motors,19.83,0,,17.79,1.4,217.47,1,82.16,0.27,1.58,1.94,11.81,3.23,7.08,52.37,8.58,247.37,13.18,-49.75,2.19,,36.82,0,104.6,17.05,229.5,2.85,20.52,62.34,
Owais Metal,148.45,0,33.61,32.7,3.51,12000,0.2,44.91,2.55,1.69,6.69,15.47,0.69,0.97,52.14,13.53,2183.82,93.01,,27.14,,,0,80.05,28.86,2172.44,8.51,13.51,73.01,
Monarch Networth,21.37,0.13,7.8,17.4,2.18,207.36,0.33,43.4,2.15,0.39,0.06,146.24,2.05,7.61,51.84,12.38,2820.03,13.21,-77.77,10.49,0.37,82.5,2.94,301.54,64.14,3164.03,21.59,112.96,52.78,100.86
Ingersoll-Rand,59.07,1.62,23.48,25.99,2.57,12.86,0.01,38.4,1.89,1.42,4.07,230.52,1.47,2.32,51.35,168.03,13753.24,41.83,116.36,11.39,2.71,3.79,0,1226.9,24.59,13970.09,73.02,6.07,75,49.11
Glaxosmi. Pharma,56.63,1.24,24.58,19.08,1.3,25.84,0.01,37.32,0.96,1,2.77,770.22,1.94,2.46,51.33,554.19,43463.34,38.91,39.37,12.69,6.39,7.29,0,3506.7,28.38,44507.89,37.78,18.67,75,76.17
Hyundai Motor I,26.3,,,19.88,1.44,28.47,0.07,39.42,1.16,2.29,15.42,6055.01,2.86,5.54,51.25,53.08,146367.51,13.81,32.51,2.21,,15.79,0,69829.06,13.08,154059.13,,821.16,82.5,
AccelerateBS Ind,164.12,0,16.6,10.31,31.29,2.56,0.14,13.14,31.29,1.75,,0.4,0.99,2.78,51.15,89,63.96,33.14,,9.68,,142.14,0,6.78,28.17,65.65,0.09,0.54,70.76,34
Anand Rathi Wea.,64.08,0.35,30.51,30.03,2.5,34.35,0.12,40.28,2.5,1,,263.77,1.16,2.17,50.74,46.86,16891.53,43.53,107.85,20.01,2.08,32.61,0.01,846.8,41.96,16944.35,63.07,66.1,48,115.26
Rulka,25.44,0,,17.55,1.45,119,0.83,62.89,1.21,2.04,5.63,6.11,2.62,5.47,50.64,13.12,162.39,17.65,-72.29,2.15,,51.54,0,70.98,12.52,152.26,17.89,11.04,69.22,
Petro Carbon,7.08,0,,29.95,1.61,1195.57,0.46,67.26,0.8,1.97,4.34,81.88,1.69,19.18,50.57,14.83,639.92,5.05,39.17,1.06,0.1,4.49,0,538.64,23.31,568.97,33.38,74.65,73.21,
Dhariwalcorp,27.59,0,,22.03,1.62,651.67,1,80.11,1.12,11.18,45.17,4.51,2.34,4.95,50.25,11.56,140.21,20.99,-232.03,0.57,,17.97,0,228.77,1.91,131.54,6.86,8.79,73.49,
DCM,31.16,0,8.14,4.49,0.83,125.82,0.08,28.77,0.67,0.62,0.18,5.51,5.51,6.69,50.22,4.81,146.73,10.03,15.67,2.34,0.37,2.84,0,71.41,4.2,167.23,2.95,1.69,48.54,22.88
WOL 3D,18.6,0,,26.15,2.26,108.71,0.54,61.79,0.65,2.06,2.34,5.03,1.81,7.35,50.21,14.46,99.61,13.41,-227.42,2.39,,69.84,0,39.59,17.68,94.81,16.77,5.73,65.48,
Gretex Corporate,22.91,0.11,5.61,33.06,4.93,28.33,0.04,37.42,1.96,1.01,2.02,27.56,1.03,8.01,50.19,35.94,592.33,11.65,-53.56,5.38,0.14,704.83,0,113.24,42.76,608.88,23.58,4.42,64.02,165
Indian Energy Ex,44.33,1.4,16.85,20.47,0.43,20.95,0.01,37.66,0.43,0.28,,360.72,1.68,3.07,50.01,173.38,16132.54,31.87,47.36,34.8,2.77,15.28,0,468.67,84.7,16307.39,4.05,10.36,0,41.85
Alacrity Sec.,31.01,0,8.61,22.29,2.55,255.11,0.05,37.82,1.61,6.64,20.99,11.47,1.43,4.91,49.03,22.39,336.13,19.27,1066.69,1,0.8,64.49,0,341.9,5.1,340.78,5.43,1.98,57.35,887.92
Britannia Inds.,62.63,1.28,35,23.19,0.77,3.4,0.52,57.14,0.48,1.82,8.27,2203.93,2.34,2.25,48.92,22.44,140085.34,40.68,87.99,8.14,4.8,2.4,0,17008.86,18.98,138466.73,90.83,2064.96,50.55,26.41
South. Magnesium,20.14,0,9.59,32.33,2.78,72.12,0.25,41.34,1.04,0.92,0.95,4.63,1.06,6.55,48.56,62.6,97.66,15.45,-283.37,6.8,1.06,99.72,0,14.04,42.52,95.41,15.43,2.44,51.92,99.84
Concord Control,70.81,0,19.89,28.89,3.58,139.27,0.06,38.55,3.34,1.45,12.15,13.04,0.97,1.97,48.55,118.27,948.54,51.92,399.08,14.84,0.94,32.6,0,65.33,26.3,969.5,21.8,2.74,70.63,146.97
Sanstar,33.19,0,,26.03,1.42,63.89,0.65,53,1.23,4.16,65.89,66.77,2.04,4.39,48.48,9.35,2294.11,20.38,107.6,2.08,,40.47,0,1067.27,9.2,2219.22,4.75,81.27,70.37,
Cams Services,56.72,1.06,23.65,26.89,1.92,29.27,0.11,39.78,1.92,0.91,,382.25,1.37,2.39,48.39,61.99,22364.81,38.08,75.17,18.63,2.81,21.09,0,1206.62,45.14,22479.63,78.43,96.31,0,82.22
HB Stockholdings,2.75,1.11,0.93,42.27,1.86,154.88,0.01,44.4,1.86,0.5,,34.23,0.86,44.05,48.35,450.78,91.15,2.23,17.28,2.12,0.05,94.73,0,44.01,92.84,93.09,47.96,0.83,53.22,165.72
Systematix Corp.,47.02,0.05,15.64,21.79,1.77,3254.97,0.14,42.44,1.77,0.6,,50.66,1.61,3.05,48.35,19.87,2346.34,33.25,68.59,16.64,0.62,125.23,0,150.25,42.01,2500.84,39.03,20.57,74.23,364.54
Advani Hotels.,25.46,2.73,8.46,26.12,1.65,-9.48,0.03,36.86,1.59,1.11,10.25,23.96,1.32,5.51,48.18,267.67,588.37,16.6,30.16,5.91,1.52,5.13,0,104.17,30.85,615.44,2.59,1.98,50.25,39.01
Motherson Wiring,42.06,1.27,16.65,21.15,1.94,37.14,0.15,42.45,1.01,2.76,4.67,664.05,1.8,3.23,47.96,36.04,28281.77,26.78,76.7,3.28,,19.08,0,8636.66,12.04,28290.97,1.5,259.1,61.73,2.77
Insolation Ener,132.46,0,67.52,26.17,1.64,416.56,0.89,68.51,1.03,3.49,10.01,55.22,1.95,1.06,47.81,7.41,7263.51,85.64,1115.71,9.8,,163.88,0,737.17,10.98,7226,26.63,96.02,69.98,563.98
Avantel,66.92,0.12,20.1,29.44,2.83,41.87,0.08,39.15,1.92,1.19,1.73,61.7,1.1,2.08,47.5,33.96,4019.12,42,-958.69,17.46,1.55,7.26,0,229.71,40.96,4010.39,2.54,17.26,40.06,69.83
Panorama Studios,41.56,0.09,11.51,10.96,1.5,-15.51,0.26,41.19,0.85,1.26,0,35.3,2.81,4.32,47.37,5.38,1461.37,22.44,-332.57,3.58,0.38,-1.22,0,404.14,14.87,1448.09,5.71,32.63,67.16,310.52
Visco Trade,5.56,0.2,4.77,33.64,11.21,39881.82,1.19,95.37,0.98,2.15,4.35,43.98,1.92,19.96,46.97,8.98,300.72,4.93,9.57,1.17,0.04,90.34,0,204.44,29.42,240.14,18.32,61.17,69.08,368.48
Sahana Systems,66.84,0,18.83,26.7,1.43,142.19,0.24,47.16,1.08,0.95,0.05,15.04,1.06,1.91,46.71,237,1045.54,54.77,293.83,19.7,,122.33,0,53.67,35.22,1057.54,17.69,12.64,61.05,338.66
CG Power & Ind,128.71,0.17,32.82,27,1.73,2.56,0.01,57.78,1.36,1.56,8.66,895.51,1.71,1.05,46.63,272.71,112283.67,86.06,233.76,12.84,3,17,0,8810.68,13.24,113124.62,9.45,30.23,58.07,96.67
Kesar Enterprise,,0,0.72,13.72,0.36,52.52,0.39,66.48,0.1,0.87,4.01,-19.15,3.18,-4.66,46.57,-0.94,204.17,20.64,4.99,0.31,,-13.32,0,467.11,1.89,144.04,71.42,74.59,70.91,47.85
JNK,56.57,0.05,,14.47,1.5,34.64,0.34,39.42,1.24,1.11,2.76,62.62,2.22,2.76,46.26,9.9,3636.36,34.81,-449.24,7.5,,17.91,0,480.24,20.69,3599.95,12.95,65.55,67.97,
Storage Tech,33.15,0,,11.97,1.14,1903.45,1.56,69.83,0.87,1.83,6.37,5.81,4.32,4.92,46.16,4.45,212.98,17.34,105.86,2.21,1.39,15.88,0,88.86,13.39,196.45,6.46,17.56,70.09,
Hindustan Zinc,24.67,5.65,28.48,22.34,0.61,4.35,1.84,55.08,0.51,0.83,1.42,8799.07,2.28,5.54,46.15,12.01,235130.6,14.38,21.52,7.09,,2.6,99.04,31241,48.78,221344.6,20.68,14004,64.93,69.25
Prithvi Exchange,23.14,0.57,8.53,23.98,2.99,201.35,0.03,35.15,2.16,76.41,422.96,15.67,1.28,6.43,46.13,110,334.97,14.8,77.76,0.08,0.56,31.52,0,4283.06,0.5,355.43,18.99,1.18,71.95,472.92
Zen Technologies,103.36,0.06,32.91,20.88,2.29,89.01,0.01,33.12,1.66,0.72,1.09,153.61,1.36,1.45,46.11,74.44,15840.38,66.4,1266.54,28.45,1.83,78.86,0,562.03,39.72,15992.52,18.75,6.03,51.26,159.06
Abbott India,49.78,1.41,16.68,24.64,2.42,19.82,0.02,34.88,1.96,1.2,5.1,1238.99,1.32,2.81,46.02,141.34,58418.64,33.41,61.8,10.2,2.22,7.31,0,5927.52,25.12,60469.9,583.07,83.23,74.99,27.79
Dreamfolks Servi,32.28,0.45,9.95,18.51,2.05,1.07,0.03,34.92,2.05,3.06,,72.83,1.57,4.33,46.02,79.62,2291.47,22.19,133.71,1.97,0.92,35.28,0,1189.49,8.34,2342.99,13.8,6.11,66.02,-12.12
